task,architecture,metric,selected_mean,selected_ci_low,selected_ci_high,random_mean,random_ci_low,random_ci_high,selected_minus_random_mean,selected_minus_random_ci_low,selected_minus_random_ci_high
two_concepts,bn2_w16_gmp,centered_logit_fidelity,0.01649964678515319,0.00243565232517666,0.030563641245129718,0.05965995376343351,0.0516196185517009,0.06770028897516613,-0.04316030697828031,-0.05732110418811572,-0.028999509768444905
two_concepts,bn2_w16_gmp,prob_error_reduction,0.012710641850717366,-0.01275736098364181,0.03817864468507654,0.08880937615525909,0.07984915522026861,0.09776959709024957,-0.07609873430454173,-0.10141291484171397,-0.050784553767369484
two_concepts,bn4_w16_gap,centered_logit_fidelity,0.14450255933985093,0.1176716131769587,0.17133350550274315,0.04207670916537667,0.036418083517080826,0.04773533481367251,0.10242585017447428,0.07528664128655813,0.12956505906239044
two_concepts,bn4_w16_gap,prob_error_reduction,0.07570348741486668,0.05315324092185016,0.0982537339078832,0.05673427401954541,0.050466283310669324,0.06300226472842149,0.018969213395321274,-0.0036032611841816213,0.041541687974824174
two_concepts,bn4_w16_gmp,centered_logit_fidelity,0.013176304797875073,0.006296625393279003,0.020055984202471143,0.005012276359747826,0.003469769332525776,0.006554783386969875,0.00816402843812725,0.0012625454610919887,0.015065511415162512
two_concepts,bn4_w16_gmp,prob_error_reduction,-0.002345316242426634,-0.01626913905242421,0.01157850656757094,0.0019071932291262782,-0.00024666881220542663,0.004061055270457983,-0.004252509471552912,-0.018137361608041812,0.00963234266493599
two_concepts,plain2_w16_gap,centered_logit_fidelity,0.09362257302349279,0.07339380798671123,0.11385133806027435,0.016507406840032893,0.01322056758907684,0.019794246090988944,0.07711516618345991,0.05668504774650071,0.09754528462041911
two_concepts,plain2_w16_gap,prob_error_reduction,0.33477319896686825,0.32070244799821795,0.34884394993551854,0.23166218190453947,0.22511263603376785,0.23821172777531108,0.10311101706232875,0.08911316610379925,0.11710886802085825
two_concepts,plain2_w16_gmp,centered_logit_fidelity,-0.016681360073252015,-0.022726056131072158,-0.010636664015431872,0.008661207677793381,0.007451889085776486,0.009870526269810276,-0.025342567751045396,-0.031468974242925656,-0.019216161259165136
two_concepts,plain2_w16_gmp,prob_error_reduction,-0.05808355458080769,-0.07574579094631645,-0.040421318215298936,-0.023718031105818226,-0.027090310725435954,-0.0203457514862005,-0.03436552347498946,-0.05262477353194736,-0.016106273418031558
