task,metric,family,contrast,alternative_architecture,reference_architecture,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_holm_within_factor_family
two_concepts,prob_error_reduction,depth,GMP: plain4 - plain2,plain4_w16_gmp,plain2_w16_gmp,100,0.0019482421688735486,0.10650750784637938,-0.01918515808512738,0.02308164242287448,0.18292064177143144,0.8552343684052939,0.8552343684052939
two_concepts,prob_error_reduction,depth,GAP: plain4 - plain2,plain4_w16_gap,plain2_w16_gap,100,-0.21876592230517417,0.10834464636142045,-0.24026385069757078,-0.19726799391277755,-20.191668868935707,7.0439566533802696e-37,1.4087913306760539e-36
two_concepts,prob_error_reduction,width,depth2 GMP: w64 - w16,plain2_w64_gmp,plain2_w16_gmp,100,0.056032169070094826,0.10385194704453032,0.035425689691993625,0.07663864844819603,5.395389365792918,4.6747719618527887e-07,1.4024315885558367e-06
two_concepts,prob_error_reduction,width,depth2 GAP: w64 - w16,plain2_w64_gap,plain2_w16_gap,100,-0.01003033530432731,0.10991862057358824,-0.03184057432803824,0.011779903719383622,-0.9125237609411415,0.3637098971706784,0.3637098971706784
two_concepts,prob_error_reduction,width,depth4 GMP: w64 - w16,plain4_w64_gmp,plain4_w16_gmp,100,0.03233803704380989,0.0617158460173397,0.020092274258899645,0.04458379982872014,5.239827229253925,9.084793373384877e-07,1.8169586746769754e-06
two_concepts,prob_error_reduction,width,depth4 GAP: w64 - w16,plain4_w64_gap,plain4_w16_gap,100,-0.11469797894824296,0.11616986696304667,-0.13774860087740456,-0.09164735701908136,-9.873298639889816,2.0673909769441492e-16,8.269563907776597e-16
two_concepts,prob_error_reduction,residual,GMP: residual4 - plain4,res4_w16_gmp,plain4_w16_gmp,100,0.01133305661380291,0.06785621534681918,-0.002131088662362791,0.02479720188996861,1.670157487546077,0.09804710364977204,0.19609420729954408
two_concepts,prob_error_reduction,residual,GAP: residual4 - plain4,res4_w16_gap,plain4_w16_gap,100,-0.01860626334324479,0.13856495307465563,-0.04610055622189561,0.008888029535406024,-1.3427827838414639,0.18241295585146497,0.19609420729954408
two_concepts,prob_error_reduction,batchnorm,depth2 GMP: BN - noBN,bn2_w16_gmp,plain2_w16_gmp,100,0.07079419643152506,0.15629908800043055,0.03978106643872991,0.1018073264243202,4.529405599048028,1.65343705770105e-05,3.3068741154021e-05
two_concepts,prob_error_reduction,batchnorm,depth2 GAP: BN - noBN,bn2_w16_gap,plain2_w16_gap,100,-0.37376527093583717,0.17902048883923735,-0.40928681979944737,-0.33824372207222697,-20.87835159870908,4.794261552364327e-38,1.917704620945731e-37
two_concepts,prob_error_reduction,batchnorm,depth4 GMP: BN - noBN,bn4_w16_gmp,plain4_w16_gmp,100,0.053789996169507505,0.09307063511946594,0.03532276297961166,0.07225722935940335,5.779480939445873,8.71453728558042e-08,2.614361185674126e-07
two_concepts,prob_error_reduction,batchnorm,depth4 GAP: BN - noBN,bn4_w16_gap,plain4_w16_gap,100,-0.040303789246827364,0.1352419999554784,-0.06713873613463833,-0.013468842359016391,-2.980123723406586,0.0036252918639105404,0.0036252918639105404
two_concepts,prob_fidelity,pooling,tiny: GAP - GMP,tiny_gap,tiny_gmp,100,-0.17534034915037597,0.0715651002691222,-0.18954041765997337,-0.16114028064077857,-24.50081792535811,8.107183655208592e-44,6.485746924166874e-43
two_concepts,prob_fidelity,pooling,plain2_w16: GAP - GMP,plain2_w16_gap,plain2_w16_gmp,100,0.1349287874691673,0.07695627410532441,0.11965899310809576,0.15019858183023888,17.533175694615903,4.002768562722794e-32,2.4016611376336766e-31
two_concepts,prob_fidelity,pooling,plain4_w16: GAP - GMP,plain4_w16_gap,plain4_w16_gmp,100,0.07412312447580761,0.05673086217937973,0.06286649063436381,0.08537975831725142,13.065749686904907,2.8452315182385874e-23,1.4226157591192936e-22
two_concepts,prob_fidelity,pooling,plain2_w64: GAP - GMP,plain2_w64_gap,plain2_w64_gmp,100,0.14086047864613904,0.07855559404077962,0.12527334451237346,0.15644761277990463,17.931310986333553,7.343322683400746e-33,5.140325878380523e-32
two_concepts,prob_fidelity,pooling,plain4_w64: GAP - GMP,plain4_w64_gap,plain4_w64_gmp,100,0.0030746043755622045,0.04280514169709991,-0.005418864401482218,0.011568073152606627,0.7182792191926121,0.4742768722186125,0.4742768722186125
two_concepts,prob_fidelity,pooling,res4_w16: GAP - GMP,res4_w16_gap,res4_w16_gmp,100,0.05748107800809085,0.06417198979776496,0.044747963010715264,0.07021419300546644,8.957346996600823,2.051282449215295e-14,8.20512979686118e-14
