task,architecture,block,metric,delta
single_shape,bn2_w16_gmp,6043,prob_input_effect_mpp,0.002410322427749634
single_shape,bn2_w16_gmp,6044,prob_input_effect_mpp,0.0032397210597991943
single_shape,bn2_w16_gmp,6045,prob_input_effect_mpp,0.0027787089347839355
single_shape,bn2_w16_gmp,6046,prob_input_effect_mpp,0.004024118185043335
single_shape,bn2_w16_gmp,6047,prob_input_effect_mpp,0.0008234679698944092
single_shape,bn2_w16_gmp,6048,prob_input_effect_mpp,0.00423857569694519
single_shape,bn2_w16_gmp,6049,prob_input_effect_mpp,6.556510925292969e-06
single_shape,bn2_w16_gmp,6050,prob_input_effect_mpp,0.003413170576095581
single_shape,bn2_w16_gmp,6051,prob_input_effect_mpp,0.001586318016052246
single_shape,bn2_w16_gmp,6052,prob_input_effect_mpp,0.003998816013336182
single_shape,bn2_w16_gmp,6053,prob_input_effect_mpp,0.00490155816078186
single_shape,bn2_w16_gmp,6054,prob_input_effect_mpp,0.00415194034576416
single_shape,bn2_w16_gmp,6055,prob_input_effect_mpp,0.00458177924156189
single_shape,bn2_w16_gmp,6056,prob_input_effect_mpp,0.004200011491775513
single_shape,bn2_w16_gmp,6057,prob_input_effect_mpp,0.0030524730682373047
single_shape,bn2_w16_gmp,6058,prob_input_effect_mpp,0.003031820058822632
single_shape,bn2_w16_gmp,6059,prob_input_effect_mpp,0.002092421054840088
single_shape,bn2_w16_gmp,6060,prob_input_effect_mpp,0.0041709840297698975
single_shape,bn2_w16_gmp,6061,prob_input_effect_mpp,0.0020402073860168457
single_shape,bn2_w16_gmp,6062,prob_input_effect_mpp,0.0024605095386505127
single_shape,bn2_w16_gmp,6063,prob_input_effect_mpp,0.0013240575790405273
single_shape,bn2_w16_gmp,6064,prob_input_effect_mpp,0.0023155510425567627
single_shape,bn2_w16_gmp,6065,prob_input_effect_mpp,0.00457608699798584
single_shape,bn2_w16_gmp,6066,prob_input_effect_mpp,0.00208282470703125
single_shape,bn2_w16_gmp,6067,prob_input_effect_mpp,0.003521949052810669
single_shape,bn2_w16_gmp,6068,prob_input_effect_mpp,0.0029726624488830566
single_shape,bn2_w16_gmp,6069,prob_input_effect_mpp,0.0026331543922424316
single_shape,bn2_w16_gmp,6070,prob_input_effect_mpp,0.002403169870376587
single_shape,bn2_w16_gmp,6071,prob_input_effect_mpp,0.004757434129714966
single_shape,bn2_w16_gmp,6072,prob_input_effect_mpp,0.002009361982345581
single_shape,bn2_w16_gmp,6073,prob_input_effect_mpp,0.00289800763130188
single_shape,bn2_w16_gmp,6074,prob_input_effect_mpp,0.0017714202404022217
single_shape,bn2_w16_gmp,6075,prob_input_effect_mpp,-0.0012450218200683594
single_shape,bn2_w16_gmp,6076,prob_input_effect_mpp,0.0034748315811157227
single_shape,bn2_w16_gmp,6077,prob_input_effect_mpp,0.00394865870475769
single_shape,bn2_w16_gmp,6078,prob_input_effect_mpp,0.0008930563926696777
single_shape,bn2_w16_gmp,6079,prob_input_effect_mpp,0.0061550140380859375
single_shape,bn2_w16_gmp,6080,prob_input_effect_mpp,0.0022523999214172363
single_shape,bn2_w16_gmp,6081,prob_input_effect_mpp,0.0071475207805633545
single_shape,bn2_w16_gmp,6082,prob_input_effect_mpp,0.0032432079315185547
single_shape,bn2_w16_gmp,6083,prob_input_effect_mpp,0.0026332736015319824
single_shape,bn2_w16_gmp,6084,prob_input_effect_mpp,0.001771003007888794
single_shape,bn2_w16_gmp,6085,prob_input_effect_mpp,0.0018653273582458496
single_shape,bn2_w16_gmp,6086,prob_input_effect_mpp,0.0017069876194000244
