task,metric,family,contrast,block,difference
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6070,0.0866255606105884
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6071,0.08211277826967009
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6072,0.06394200283329124
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6073,0.26256306986898786
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6074,-0.01821630479454686
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6075,0.3539144987984407
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6076,0.27563269286506475
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6077,0.019836715359633883
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6078,0.22917104251221804
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6079,0.12682406425527623
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6080,0.022187374570116658
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6081,0.2985676538278235
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6082,0.3661915373849915
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6083,0.1572079992091149
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6084,0.3544966270338597
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6085,0.17131376281982574
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6086,0.10259545257212122
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6087,-0.020017091710927637
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6088,0.3723085809191256
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6089,0.13570992955696273
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6090,0.14055600973560312
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6091,0.22130046906630113
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6092,0.05336845336626572
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6093,-0.13358416721451113
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6094,-0.1119829880967353
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6095,-0.04732868036328902
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6096,0.16344095020783211
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6097,0.04962441720381772
