task,metric,contrast,block,architecture,difference
single_shape,centered_logit_fidelity,structured - pixel_permuted,7069,tiny_gap,-0.0334013172240117
single_shape,centered_logit_fidelity,structured - pixel_permuted,7069,tiny_gmp,0.06665776924493434
single_shape,centered_logit_fidelity,structured - pixel_permuted,7070,plain2_w16_gap,-0.14221315269644164
single_shape,centered_logit_fidelity,structured - pixel_permuted,7070,plain2_w16_gmp,0.03684764743813075
single_shape,centered_logit_fidelity,structured - pixel_permuted,7070,tiny_gap,-0.023259445558251185
single_shape,centered_logit_fidelity,structured - pixel_permuted,7070,tiny_gmp,0.07972601430574619
single_shape,centered_logit_fidelity,structured - pixel_permuted,7071,plain2_w16_gap,0.04792561954541784
single_shape,centered_logit_fidelity,structured - pixel_permuted,7071,plain2_w16_gmp,0.026981019255169658
single_shape,centered_logit_fidelity,structured - pixel_permuted,7071,tiny_gap,-0.00012186056017798874
single_shape,centered_logit_fidelity,structured - pixel_permuted,7071,tiny_gmp,0.004234499803575653
