task,architecture,anchor_family,block,init_rep,treatment,anchor_rank,anchor_max_abs_row_mean,anchor_max_abs_row_norm_error,anchor_max_abs_gram_error_vs_structured,anchor_sha256
single_shape,plain2_w16_gap,pixel_permuted_template,7022,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,70d296833a0da7a577630a2c16aed6283125408a2f1d83f0c022347e9a3a7a00
single_shape,plain2_w16_gap,pixel_permuted_template,7022,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,6.661338147750939e-16,70ad282bc46bc28693f0b1d10a4d2560b3bcfd59e35d542aaf098cf7352843d0
single_shape,plain2_w16_gap,pixel_permuted_template,7022,2,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,756609f882a6fbc7407a375547b2c8da3c5c6b0eaf0f4d8c63ed746185d2ddbe
single_shape,plain2_w16_gap,pixel_permuted_template,7022,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,5.551115123125783e-16,5d680b33df54062328e57b386a14dedc1560408fcd8d54a4176eced51386d0a6
single_shape,plain2_w16_gap,pixel_permuted_template,7023,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,67b5d710a87214332392a1f80499824e360175a832cc07238579a2d9534828b5
single_shape,plain2_w16_gap,pixel_permuted_template,7023,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,326299246910a1c6c7f2d98c55c6c3be2d57b6901d4a35203812229fab199d9a
single_shape,plain2_w16_gap,pixel_permuted_template,7023,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,cbd5ba26d5b087dbbfdc2ce6b68ed807f8e1c2507bb27e2c21e794408caf198a
single_shape,plain2_w16_gap,pixel_permuted_template,7023,3,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,8be58df3cb4550bf199c9da13c97beae5afdc8e5e2ce4b05c80d468bb4948375
single_shape,plain2_w16_gap,pixel_permuted_template,7024,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,92378770d1c106b0464ea0e5c58243f9fcdec6512004b8be0993366ade1c2507
single_shape,plain2_w16_gap,pixel_permuted_template,7024,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,6.661338147750939e-16,ab73afe35df0b9fef5102c10dd15b8e75fbc7d5467fdae5ffa9a8ba59943c33c
single_shape,plain2_w16_gap,pixel_permuted_template,7024,2,release_default,10,1.437226195394257e-09,1.219202161450994e-08,5.551115123125783e-16,5fb4e3eabc3f7c65092c9bf8a32652cdbfea698af33f68d4ca3355193a0c31c4
single_shape,plain2_w16_gap,pixel_permuted_template,7024,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,4ba3d661ecd79531791b41cd98a3bd9057b27270d552f854133e2467bbf31161
single_shape,plain2_w16_gap,pixel_permuted_template,7025,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,6.661338147750939e-16,c3e5b8e325b9d677ae434f02c223585b28f0efcaf39fff8617a6bc1fb3b62eb6
single_shape,plain2_w16_gap,pixel_permuted_template,7025,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,1bb902d104a477ec0afb73d806976c0c4187f929b7c91210c95a6540bd0465ff
single_shape,plain2_w16_gap,pixel_permuted_template,7025,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,4da8b35b797e85d3ebd70700952578d8e0d0c788fc7909e2820df8fdc1fb9a73
single_shape,plain2_w16_gap,pixel_permuted_template,7025,3,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,e5d758db06652a9a429d037b9341658b87c4819973fac19b1464df3020ec9e22
single_shape,plain2_w16_gap,pixel_permuted_template,7026,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,5b3e201b40157febf701f45595e8c6b46d3de7a73b9a7f10e32fc98a4d6706f2
single_shape,plain2_w16_gap,pixel_permuted_template,7026,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,bca25e348c2fcb5525c8332382a5594689b1f88e3369a759739ea0eec525e2fa
single_shape,plain2_w16_gap,pixel_permuted_template,7026,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,16a11a7fab7f6cb18a868a1e8d3080d410e108ba3454a25a481146db0410ce92
single_shape,plain2_w16_gap,pixel_permuted_template,7026,3,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,81947cf290e1c5eed75906f7da44b8f8a6c00f9c107d74126397b73a5ad732e4
single_shape,plain2_w16_gap,pixel_permuted_template,7027,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,6.661338147750939e-16,d4169a08a39828ac66c36e511ade41c6a170cde19e2043973adcb86068babe53
single_shape,plain2_w16_gap,pixel_permuted_template,7027,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,5.551115123125783e-16,847e6659a6d04e0ce31c062ff3158003c10d6d5f32562b1a31e5cc505468eeaf
single_shape,plain2_w16_gap,pixel_permuted_template,7027,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,50840182478ec74023a93515e72344ee66a653911e81c8c303ebf2e36f7059ce
single_shape,plain2_w16_gap,pixel_permuted_template,7027,3,release_default,10,1.437226195394257e-09,1.219202161450994e-08,3.3306690738754696e-16,c1f00c6b5712849895e50f2be14e43d4376fce8630f390f689059e839dc4f5df
single_shape,plain2_w16_gap,pixel_permuted_template,7028,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,5.551115123125783e-16,ec1ed2c5771dd8644863889803673111fd5713fb301fc05fc83ecb117bfc744b
single_shape,plain2_w16_gap,pixel_permuted_template,7028,1,release_default,10,1.437226195394257e-09,1.219202161450994e-08,5.551115123125783e-16,b6f37688e2e65f869bd850878b5bd8e3d90796f3d69240b67eacf675d6980bdc
single_shape,plain2_w16_gap,pixel_permuted_template,7028,2,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,2dc36f7a6d7035cb6f1480ed7dadbb1fd77e38584ee91e9be9db299faa886cbf
single_shape,plain2_w16_gap,pixel_permuted_template,7028,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,4cefcab307077ca1f4f5b77d7f7421680b4904d79509aedf7c009715f97b9cc2
single_shape,plain2_w16_gap,pixel_permuted_template,7029,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,b0f4ae9d9e017cfb8e3aa58c6ecc9ce5831a613426a4e5d7d59d89c62c3cd442
single_shape,plain2_w16_gap,pixel_permuted_template,7029,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,5.551115123125783e-16,1fc5840c085e0df7c163e8d39eb645f110188dbf5511df21bf05afee0f4e0035
single_shape,plain2_w16_gap,pixel_permuted_template,7029,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,5.551115123125783e-16,b17c160b69083f4e96381d19c05faf92a260ec1d85235ce6ab7b8ec577a2fd3c
