architecture,method,metric,block,B
TwoLayerCNN,contrast,prob_fidelity,4005,-0.03500680361398323
TwoLayerCNN,contrast,prob_fidelity,4006,-0.024681569097137035
TwoLayerCNN,contrast,prob_fidelity,4007,0.014512075179080097
TwoLayerCNN,contrast,prob_fidelity,4008,-0.17566412132463927
TwoLayerCNN,contrast,prob_fidelity,4009,-0.022683453501562256
TwoLayerCNN,contrast,prob_fidelity,4010,-0.034329763976902294
TwoLayerCNN,contrast,prob_fidelity,4011,-0.13145067522845744
TwoLayerCNN,contrast,prob_fidelity,4012,0.0588313177296812
TwoLayerCNN,contrast,prob_fidelity,4013,0.03558166209994229
TwoLayerCNN,contrast,prob_fidelity,4014,0.010434822387323295
TwoLayerCNN,contrast,prob_fidelity,4015,-0.07038813863883081
TwoLayerCNN,contrast,prob_fidelity,4016,-0.14581197199114088
TwoLayerCNN,contrast,prob_fidelity,4017,-0.036780938471086044
TwoLayerCNN,contrast,prob_fidelity,4018,-0.05081903346358946
TwoLayerCNN,contrast,prob_fidelity,4019,-0.006365129164657868
TwoLayerCNN,auroc,prob_fidelity,4000,-0.0804969430671369
TwoLayerCNN,auroc,prob_fidelity,4001,0.028175782634486335
TwoLayerCNN,auroc,prob_fidelity,4002,-0.005226829243611564
TwoLayerCNN,auroc,prob_fidelity,4003,0.01975896931531823
TwoLayerCNN,auroc,prob_fidelity,4004,-0.008660013764844099
TwoLayerCNN,auroc,prob_fidelity,4005,-0.014993491489089739
TwoLayerCNN,auroc,prob_fidelity,4006,-0.04614820177795309
TwoLayerCNN,auroc,prob_fidelity,4007,0.011005022957525867
TwoLayerCNN,auroc,prob_fidelity,4008,-0.18864728926813612
TwoLayerCNN,auroc,prob_fidelity,4009,-0.033406408301399126
TwoLayerCNN,auroc,prob_fidelity,4010,-0.06397570326002788
TwoLayerCNN,auroc,prob_fidelity,4011,-0.11683551239260775
TwoLayerCNN,auroc,prob_fidelity,4012,0.05239498185642033
TwoLayerCNN,auroc,prob_fidelity,4013,0.03236864054902716
TwoLayerCNN,auroc,prob_fidelity,4014,0.01631983584100144
TwoLayerCNN,auroc,prob_fidelity,4015,-0.05814541494660064
TwoLayerCNN,auroc,prob_fidelity,4016,-0.06172209424101671
TwoLayerCNN,auroc,prob_fidelity,4017,-0.019049549636301177
TwoLayerCNN,auroc,prob_fidelity,4018,-0.04795864414363332
TwoLayerCNN,auroc,prob_fidelity,4019,-0.050647084697481526
TwoLayerCNN,validation_patch,prob_fidelity,4000,0.011696076204375405
TwoLayerCNN,validation_patch,prob_fidelity,4001,0.05164886979488614
TwoLayerCNN,validation_patch,prob_fidelity,4002,0.041120496066478496
TwoLayerCNN,validation_patch,prob_fidelity,4003,0.04351342359850896
TwoLayerCNN,validation_patch,prob_fidelity,4004,-0.06980628230659958
TwoLayerCNN,validation_patch,prob_fidelity,4005,-0.056016908303215374
TwoLayerCNN,validation_patch,prob_fidelity,4006,0.07073448146493977
