stage,task,architecture,block,condition,epoch,method,k,selection_valid,stored_prob_fidelity,legacy_prob_fidelity_abs_diff,prob_fidelity,centered_logit_fidelity,raw_logit_fidelity,prob_patch_error_mpp,prob_error_reduction,centered_logit_patch_error_mpp,centered_logit_error_reduction,raw_logit_patch_error_mpp,raw_logit_error_reduction,cf_accuracy,agreement
D,two_concepts,TinyCNN,4003,template_release,200,validation_patch,2,True,0.5758793265874549,6.55856575715319e-08,0.5758792610017973,0.6952489619067515,0.6958108118260842,0.7708868980407715,1.0467252731323242,49.729095458984375,113.45033264160156,50.65974426269531,115.88050842285156,0.400390625,0.41796875
D,two_concepts,TinyCNN,4003,template_release,200,validation_patch,4,True,0.958883998712947,0.0,0.958883998712947,0.9178438121076935,0.9167185897469963,0.0747329443693161,1.7428792268037796,13.40619945526123,149.7732286453247,13.869707107543945,152.67054557800293,0.931640625,0.943359375
D,two_concepts,TinyCNN,4003,template_release,200,validation_patch,8,True,0.9910972275975134,0.0,0.9910972275975134,0.9927999214825971,0.9926201931314114,0.016181787475943565,1.8014303836971521,1.174904704093933,162.004523396492,1.2290347814559937,165.31121790409088,0.96875,0.98828125
D,two_concepts,TinyCNN,4003,template_retention_1,200,contrast,1,True,0.531273911046606,2.945617072480644e-08,0.5312739405027768,0.6163236348251955,0.6163490456066747,0.4742342531681061,0.5375171601772308,10.26429557800293,16.488187789916992,10.52098560333252,16.902338981628418,0.259765625,0.26953125
D,two_concepts,TinyCNN,4003,template_retention_1,200,contrast,2,True,0.7741892306825843,0.0,0.7741892306825843,0.7775756156100319,0.777226187462268,0.22846436500549316,0.7832870483398438,5.950404167175293,20.80207920074463,6.109198570251465,21.314126014709473,0.64453125,0.65234375
D,two_concepts,TinyCNN,4003,template_retention_1,200,contrast,4,True,0.9554658634793676,7.364042708957186e-09,0.9554658708434103,0.9485070357876647,0.9469415048074382,0.045057471841573715,0.9666939415037632,1.377564787864685,25.374918580055237,1.4550402164459229,25.968284368515015,0.9140625,0.927734375
D,two_concepts,TinyCNN,4003,template_retention_1,200,contrast,8,True,0.9787173790582651,0.0,0.9787173790582651,0.968996849495145,0.9684954351246233,0.02153272181749344,0.9902186915278435,0.8294113278388977,25.923072040081024,0.863959789276123,26.559364795684814,0.95703125,0.96484375
D,two_concepts,TinyCNN,4003,template_retention_1,200,auroc,1,True,0.3229544515696958,5.891234144961288e-08,0.32295451048203727,0.4245387460977844,0.4245358095720323,0.6850017309188843,0.32674968242645264,15.395017623901367,11.357465744018555,15.78114128112793,11.642183303833008,0.111328125,0.12109375
D,two_concepts,TinyCNN,4003,template_retention_1,200,auroc,2,True,0.8183208486299228,0.0,0.8183208486299228,0.8315198567575117,0.8316247638707668,0.183814138174057,0.8279372751712799,4.507262229919434,22.24522113800049,4.617408752441406,22.80591583251953,0.703125,0.712890625
D,two_concepts,TinyCNN,4003,template_retention_1,200,auroc,4,True,0.9554658634793676,7.364042708957186e-09,0.9554658708434103,0.9485070357876647,0.9469415048074382,0.045057471841573715,0.9666939415037632,1.377564787864685,25.374918580055237,1.4550402164459229,25.968284368515015,0.9140625,0.927734375
D,two_concepts,TinyCNN,4003,template_retention_1,200,auroc,8,True,0.9787173790582651,0.0,0.9787173790582651,0.968996849495145,0.9684954351246233,0.02153272181749344,0.9902186915278435,0.8294113278388977,25.923072040081024,0.863959789276123,26.559364795684814,0.95703125,0.96484375
