architecture,method,k,metric,block,delta
TwoLayerCNN,auroc,1,centered_logit_fidelity,4004,0.04996134339265257
TwoLayerCNN,auroc,1,centered_logit_fidelity,4005,-0.0054089049465114725
TwoLayerCNN,auroc,1,centered_logit_fidelity,4006,0.007802834458724317
TwoLayerCNN,auroc,1,centered_logit_fidelity,4007,-0.039551630055471465
TwoLayerCNN,auroc,1,centered_logit_fidelity,4008,0.027226272608308122
TwoLayerCNN,auroc,1,centered_logit_fidelity,4009,-0.003343412839388993
TwoLayerCNN,auroc,1,centered_logit_fidelity,4010,-0.17618598926354379
TwoLayerCNN,auroc,1,centered_logit_fidelity,4011,-0.10720963173180509
TwoLayerCNN,auroc,1,centered_logit_fidelity,4012,-0.0019497956007323847
TwoLayerCNN,auroc,1,centered_logit_fidelity,4013,-0.020557936725994375
TwoLayerCNN,auroc,1,centered_logit_fidelity,4014,0.01271317856134857
TwoLayerCNN,auroc,1,centered_logit_fidelity,4015,0.0008831366182495692
TwoLayerCNN,auroc,1,centered_logit_fidelity,4016,-0.0322582673627646
TwoLayerCNN,auroc,1,centered_logit_fidelity,4017,0.0007207179390692486
TwoLayerCNN,auroc,1,centered_logit_fidelity,4018,-0.00954637162129357
TwoLayerCNN,auroc,1,centered_logit_fidelity,4019,-0.01575260975571824
TwoLayerCNN,auroc,2,centered_logit_fidelity,4000,-0.011906819877307795
TwoLayerCNN,auroc,2,centered_logit_fidelity,4001,0.07025656814661851
TwoLayerCNN,auroc,2,centered_logit_fidelity,4002,-0.031900501676280224
TwoLayerCNN,auroc,2,centered_logit_fidelity,4003,-0.040394238567183605
TwoLayerCNN,auroc,2,centered_logit_fidelity,4004,-0.0006804292512478938
TwoLayerCNN,auroc,2,centered_logit_fidelity,4005,-0.020826301623856236
TwoLayerCNN,auroc,2,centered_logit_fidelity,4006,-0.01171186077468589
TwoLayerCNN,auroc,2,centered_logit_fidelity,4007,-0.08984100557543562
TwoLayerCNN,auroc,2,centered_logit_fidelity,4008,-0.006786303001916294
TwoLayerCNN,auroc,2,centered_logit_fidelity,4009,-0.006369706137416831
TwoLayerCNN,auroc,2,centered_logit_fidelity,4010,-0.15487564121582387
TwoLayerCNN,auroc,2,centered_logit_fidelity,4011,-0.16920592164158965
TwoLayerCNN,auroc,2,centered_logit_fidelity,4012,-0.07425109856339385
